ids_series_id,ids_series_name
DT.DIS.PCBK.OPS.CD,"OPS, commercial banks (DIS, current US$)"
DT.DIS.PCBK.PRVG.CD,"PRVG, commercial banks (DIS, current US$)"
DT.DIS.PCBK.PS.CD,"PS, commercial banks (DIS, current US$)"
DT.DIS.PNGB.CD,"PNG, bonds (DIS, current US$)"
DT.DIS.PNGC.CD,"PNG, commercial banks and other creditors (DIS, current US$)"
DT.DIS.PROP.CB.CD,"CB, other private creditors (DIS, current US$)"
DT.DIS.PROP.CD,"PPG, other private creditors (DIS, current US$)"
DT.DIS.PROP.GG.CD,"GG, other private creditors (DIS, current US$)"
DT.DIS.PROP.OPS.CD,"OPS, other private creditors (DIS, current US$)"
DT.DIS.PROP.PRVG.CD,"PRVG, other private creditors (DIS, current US$)"
DT.DIS.PROP.PS.CD,"PS, other private creditors (DIS, current US$)"
DT.DIS.PRPG.CD,"Disbursements on external debt, private guaranteed by public sector (PPG) (DIS, current US$)"
DT.DIS.PRVT.CB.CD,"CB, private creditors (DIS, current US$)"
DT.DIS.PRVT.CD,"PPG, private creditors (DIS, current US$)"
DT.DIS.PRVT.GG.CD,"GG, private creditors (DIS, current US$)"
DT.DIS.PRVT.OPS.CD,"OPS, private creditors (DIS, current US$)"
DT.DIS.PRVT.PRVG.CD,"PRVG, private creditors (DIS, current US$)"
DT.DIS.PRVT.PS.CD,"PS, private creditors (DIS, current US$)"
DT.DOD.ALLC.CD,"External debt stocks, concessional (DOD, current US$)"
DT.DOD.ALLC.ZS,Concessional debt (% of total external debt)
DT.DOD.BLAT.CB.CD,"CB, bilateral (DOD, current US$)"
DT.DOD.BLAT.CD,"PPG, bilateral (DOD, current US$)"
DT.DOD.BLAT.GG.CD,"GG, bilateral (DOD, current US$)"
DT.DOD.BLAT.OPS.CD,"OPS, bilateral (DOD, current US$)"
DT.DOD.BLAT.PRVG.CD,"PRVG, bilateral (DOD, current US$)"
DT.DOD.BLAT.PS.CD,"PS, bilateral (DOD, current US$)"
DT.DOD.BLTC.CB.CD,"CB, bilateral concessional (DOD, current US$)"
DT.DOD.BLTC.CD,"PPG, bilateral concessional (DOD, current US$)"
DT.DOD.BLTC.GG.CD,"GG, bilateral concessional (DOD, current US$)"
DT.DOD.BLTC.OPS.CD,"OPS, bilateral concessional (DOD, current US$)"
DT.DOD.BLTC.PRVG.CD,"PRVG, bilateral concessional (DOD, current US$)"
DT.DOD.BLTC.PS.CD,"PS, bilateral concessional (DOD, current US$)"
DT.DOD.DECB.CD,"External debt stocks, central bank (PPG) (DOD, current US$)"
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)"
DT.DOD.DECT.CD.CG,Total change in external debt stocks (current US$)
DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)"
DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI)
DT.DOD.DEGG.CD,"External debt stocks, general government sector (PPG) (DOD, current US$)"
DT.DOD.DEPS.CD,"External debt stocks, public sector (PPG) (DOD, current US$)"
DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)"
DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)"
DT.DOD.DOPS.CD,"External debt stocks, other public sector (PPG) (DOD, current US$)"
DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
DT.DOD.DSDR.CD,"Use of IMF credit, SDR allocations (DOD, current US$)"
DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)"
DT.DOD.DSTC.ZS,Short-term debt (% of total external debt)
DT.DOD.MDRI.CD,Debt forgiveness grants (current US$)
DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)"
DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)"
DT.DOD.MLAT.CB.CD,"CB, multilateral (DOD, current US$)"
DT.DOD.MLAT.CD,"PPG, multilateral (DOD, current US$)"
DT.DOD.MLAT.GG.CD,"GG, multilateral (DOD, current US$)"
DT.DOD.MLAT.OPS.CD,"OPS, multilateral (DOD, current US$)"
DT.DOD.MLAT.PRVG.CD,"PRVG, multilateral (DOD, current US$)"
DT.DOD.MLAT.PS.CD,"PS, multilateral (DOD, current US$)"
DT.DOD.MLAT.ZS,Multilateral debt (% of total external debt)
DT.DOD.MLTC.CB.CD,"CB, multilateral concessional (DOD, current US$)"
DT.DOD.MLTC.CD,"PPG, multilateral concessional (DOD, current US$)"
DT.DOD.MLTC.GG.CD,"GG, multilateral concessional (DOD, current US$)"
DT.DOD.MLTC.OPS.CD,"OPS, multilateral concessional (DOD, current US$)"
DT.DOD.MLTC.PRVG.CD,"PRVG, multilateral concessional (DOD, current US$)"
DT.DOD.MLTC.PS.CD,"PS, multilateral concessional (DOD, current US$)"
DT.DOD.OFFT.CB.CD,"CB, official creditors (DOD, current US$)"
DT.DOD.OFFT.CD,"PPG, official creditors (DOD, current US$)"
DT.DOD.OFFT.GG.CD,"GG, official creditors (DOD, current US$)"
DT.DOD.OFFT.OPS.CD,"OPS, official creditors (DOD, current US$)"
DT.DOD.OFFT.PRVG.CD,"PRVG, official creditors (DOD, current US$)"
DT.DOD.OFFT.PS.CD,"PS, official creditors (DOD, current US$)"
DT.DOD.PBND.CB.CD,"CB, bonds (DOD, current US$)"
DT.DOD.PBND.CD,"PPG, bonds (DOD, current US$)"
DT.DOD.PBND.GG.CD,"GG, bonds (DOD, current US$)"
DT.DOD.PBND.OPS.CD,"OPS, bonds (DOD, current US$)"
DT.DOD.PBND.PRVG.CD,"PRVG, bonds (DOD, current US$)"
DT.DOD.PBND.PS.CD,"PS, bonds (DOD, current US$)"
DT.DOD.PCBK.CB.CD,"CB, commercial banks (DOD, current US$)"
DT.DOD.PCBK.CD,"PPG, commercial banks (DOD, current US$)"
DT.DOD.PCBK.GG.CD,"GG, commercial banks (DOD, current US$)"
DT.DOD.PCBK.OPS.CD,"OPS, commercial banks (DOD, current US$)"
DT.DOD.PCBK.PRVG.CD,"PRVG, commercial banks (DOD, current US$)"
DT.DOD.PCBK.PS.CD,"PS, commercial banks (DOD, current US$)"
DT.DOD.PNGB.CD,"PNG, bonds (DOD, current US$)"
DT.DOD.PNGC.CD,"PNG, commercial banks and other creditors (DOD, current US$)"
DT.DOD.PROP.CB.CD,"CB, other private creditors (DOD, current US$)"
DT.DOD.PROP.CD,"PPG, other private creditors (DOD, current US$)"
DT.DOD.PROP.GG.CD,"GG, other private creditors (DOD, current US$)"
DT.DOD.PROP.OPS.CD,"OPS, other private creditors (DOD, current US$)"
DT.DOD.PROP.PRVG.CD,"PRVG, other private creditors (DOD, current US$)"
DT.DOD.PROP.PS.CD,"PS, other private creditors (DOD, current US$)"
DT.DOD.PRPG.CD,"External debt stocks, private guaranteed by public sector (PPG) (DOD, current US$)"
DT.DOD.PRVS.CD,"External debt stocks, long-term private sector (DOD, current US$)"
DT.DOD.PRVT.CB.CD,"CB, private creditors (DOD, current US$)"
DT.DOD.PRVT.CD,"PPG, private creditors (DOD, current US$)"
DT.DOD.PRVT.GG.CD,"GG, private creditors (DOD, current US$)"
DT.DOD.PRVT.OPS.CD,"OPS, private creditors (DOD, current US$)"
DT.DOD.PRVT.PRVG.CD,"PRVG, private creditors (DOD, current US$)"
DT.DOD.PRVT.PS.CD,"PS, private creditors (DOD, current US$)"
DT.DOD.PUBS.CD,"External debt stocks, long-term public sector (DOD, current US$)"
DT.DOD.PVLX.CD,Present value of external debt (current US$)
DT.DOD.PVLX.EX.ZS,"Present value of debt (% of exports of goods, services and primary income)"
DT.DOD.PVLX.GN.ZS,Present value of debt (% of GNI)
DT.DOD.RSDL.CD,"Residual, debt stock-flow reconciliation (current US$)"
DT.DOD.VTOT.CD,"External debt stocks, variable rate (DOD, current US$)"
DT.DSB.DPPG.CD,Debt buyback (current US$)
DT.DSF.DPPG.CD,Debt stock reduction (current US$)
DT.DXR.DPPG.CD,Debt stock rescheduled (current US$)
DT.GPA.DPPG,Average grace period on new external debt commitments (years)
DT.GPA.OFFT,"Average grace period on new external debt commitments, official (years)"
DT.GPA.PRVT,"Average grace period on new external debt commitments, private (years)"
DT.GRE.DPPG,Average grant element on new external debt commitments (%)
DT.GRE.OFFT,"Average grant element on new external debt commitments, official (%)"
DT.GRE.PRVT,"Average grant element on new external debt commitments, private (%)"
DT.INR.DPPG,Average interest on new external debt commitments (%)
DT.INR.OFFT,"Average interest on new external debt commitments, official (%)"
DT.INR.PRVT,"Average interest on new external debt commitments, private (%)"
DT.INT.BLAT.CB.CD,"CB, bilateral (INT, current US$)"
DT.INT.BLAT.CD,"PPG, bilateral (INT, current US$)"
DT.INT.BLAT.GG.CD,"GG, bilateral (INT, current US$)"
DT.INT.BLAT.OPS.CD,"OPS, bilateral (INT, current US$)"
DT.INT.BLAT.PRVG.CD,"PRVG, bilateral (INT, current US$)"
DT.INT.BLAT.PS.CD,"PS, bilateral (INT, current US$)"
DT.INT.BLTC.CB.CD,"CB, bilateral concessional (INT, current US$)"
DT.INT.BLTC.CD,"PPG, bilateral concessional (INT, current US$)"
DT.INT.BLTC.GG.CD,"GG, bilateral concessional (INT, current US$)"
DT.INT.BLTC.OPS.CD,"OPS, bilateral concessional (INT, current US$)"
DT.INT.BLTC.PRVG.CD,"PRVG, bilateral concessional (INT, current US$)"
DT.INT.BLTC.PS.CD,"PS, bilateral concessional (INT, current US$)"
DT.INT.DECB.CD,"Interest payments on external debt, central bank (PPG) (INT, current US$)"
DT.INT.DECT.CD,"Interest payments on external debt, total (INT, current US$)"
DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)"
DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI)
DT.INT.DEGG.CD,"Interest payments on external debt, general government sector (PPG) (INT, current US$)"
DT.INT.DEPS.CD,"Interest payments on external debt, public sector (PPG) (INT, current US$)"
DT.INT.DIMF.CD,"IMF charges (INT, current US$)"
DT.INT.DLXF.CD,"Interest payments on external debt, long-term (INT, current US$)"
DT.INT.DOPS.CD,"Interest payments on external debt, other public sector (PPG) (INT, current US$)"
DT.INT.DPNG.CD,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)"
DT.INT.DPPG.CD,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)"
DT.INT.DSTC.CD,"Interest payments on external debt, short-term (INT, current US$)"
DT.INT.MIBR.CD,"PPG, IBRD (INT, current US$)"
DT.INT.MIDA.CD,"PPG, IDA (INT, current US$)"
DT.INT.MLAT.CB.CD,"CB, multilateral (INT, current US$)"
DT.INT.MLAT.CD,"PPG, multilateral (INT, current US$)"
DT.INT.MLAT.GG.CD,"GG, multilateral (INT, current US$)"
DT.INT.MLAT.OPS.CD,"OPS, multilateral (INT, current US$)"
DT.INT.MLAT.PRVG.CD,"PRVG, multilateral (INT, current US$)"
DT.INT.MLAT.PS.CD,"PS, multilateral (INT, current US$)"
DT.INT.MLTC.CB.CD,"CB, multilateral concessional (INT, current US$)"
DT.INT.MLTC.CD,"PPG, multilateral concessional (INT, current US$)"
DT.INT.MLTC.GG.CD,"GG, multilateral concessional (INT, current US$)"
DT.INT.MLTC.OPS.CD,"OPS, multilateral concessional (INT, current US$)"
DT.INT.MLTC.PRVG.CD,"PRVG, multilateral concessional (INT, current US$)"
DT.INT.MLTC.PS.CD,"PS, multilateral concessional (INT, current US$)"
DT.INT.OFFT.CB.CD,"CB, official creditors (INT, current US$)"
DT.INT.OFFT.CD,"PPG, official creditors (INT, current US$)"
DT.INT.OFFT.GG.CD,"GG, official creditors (INT, current US$)"
DT.INT.OFFT.OPS.CD,"OPS, official creditors (INT, current US$)"
DT.INT.OFFT.PRVG.CD,"PRVG, official creditors (INT, current US$)"
DT.INT.OFFT.PS.CD,"PS, official creditors (INT, current US$)"
DT.INT.PBND.CB.CD,"CB, bonds (INT, current US$)"
DT.INT.PBND.CD,"PPG, bonds (INT, current US$)"
DT.INT.PBND.GG.CD,"GG, bonds (INT, current US$)"
DT.INT.PBND.OPS.CD,"OPS, bonds (INT, current US$)"
DT.INT.PBND.PRVG.CD,"PRVG, bonds (INT, current US$)"
DT.INT.PBND.PS.CD,"PS, bonds (INT, current US$)"
DT.INT.PCBK.CB.CD,"CB, commercial banks (INT, current US$)"
DT.INT.PCBK.CD,"PPG, commercial banks (INT, current US$)"
DT.INT.PCBK.GG.CD,"GG, commercial banks (INT, current US$)"
DT.INT.PCBK.OPS.CD,"OPS, commercial banks (INT, current US$)"
DT.INT.PCBK.PRVG.CD,"PRVG, commercial banks (INT, current US$)"
DT.INT.PCBK.PS.CD,"PS, commercial banks (INT, current US$)"
DT.INT.PNGB.CD,"PNG, bonds (INT, current US$)"
DT.INT.PNGC.CD,"PNG, commercial banks and other creditors (INT, current US$)"
DT.INT.PROP.CB.CD,"CB, other private creditors (INT, current US$)"
DT.INT.PROP.CD,"PPG, other private creditors (INT, current US$)"
DT.INT.PROP.GG.CD,"GG, other private creditors (INT, current US$)"
DT.INT.PROP.OPS.CD,"OPS, other private creditors (INT, current US$)"
DT.INT.PROP.PRVG.CD,"PRVG, other private creditors (INT, current US$)"
DT.INT.PROP.PS.CD,"PS, other private creditors (INT, current US$)"
DT.INT.PRPG.CD,"Interest payments on external debt, private guaranteed by public sector (PPG) (INT, current US$)"
DT.INT.PRVT.CB.CD,"CB, private creditors (INT, current US$)"
DT.INT.PRVT.CD,"PPG, private creditors (INT, current US$)"
DT.INT.PRVT.GG.CD,"GG, private creditors (INT, current US$)"
DT.INT.PRVT.OPS.CD,"OPS, private creditors (INT, current US$)"
DT.INT.PRVT.PRVG.CD,"PRVG, private creditors (INT, current US$)"
DT.INT.PRVT.PS.CD,"PS, private creditors (INT, current US$)"
DT.IXA.DLXF.CD,"Interest arrears, long-term DOD"
DT.IXA.DPPG.CD.CG,Net change in interest arrears (current US$)
DT.IXA.OFFT.CD,"Interest arrears, official creditors (current US$)"
DT.IXA.PRVT.CD,"Interest arrears, private creditors (current US$)"
DT.IXF.DPPG.CD,Interest forgiven (current US$)
DT.IXR.DPPG.CD,Interest rescheduled (capitalized) (current US$)
DT.IXR.OFFT.CD,"Interest rescheduled, official (current US$)"
DT.IXR.PRVT.CD,"Interest rescheduled, private (current US$)"
DT.MAT.DPPG,Average maturity on new external debt commitments (years)
DT.MAT.OFFT,"Average maturity on new external debt commitments, official (years)"
DT.MAT.PRVT,"Average maturity on new external debt commitments, private (years)"
DT.NFL.BLAT.CB.CD,"CB, bilateral (NFL, current US$)"
DT.NFL.BLAT.CD,"Net financial flows, bilateral (NFL, current US$)"
DT.NFL.BLAT.GG.CD,"GG, bilateral (NFL, current US$)"
DT.NFL.BLAT.OPS.CD,"OPS, bilateral (NFL, current US$)"
DT.NFL.BLAT.PRVG.CD,"PRVG, bilateral (NFL, current US$)"
DT.NFL.BLAT.PS.CD,"PS, bilateral (NFL, current US$)"
DT.NFL.BLTC.CB.CD,"CB, bilateral concessional (NFL, current US$)"
DT.NFL.BLTC.CD,"PPG, bilateral concessional (NFL, current US$)"
DT.NFL.BLTC.GG.CD,"GG, bilateral concessional (NFL, current US$)"
DT.NFL.BLTC.OPS.CD,"OPS, bilateral concessional (NFL, current US$)"
DT.NFL.BLTC.PRVG.CD,"PRVG, bilateral concessional (NFL, current US$)"
DT.NFL.BLTC.PS.CD,"PS, bilateral concessional (NFL, current US$)"
DT.NFL.DECB.CD,"Net flows on external debt, central bank (PPG) (NFL, current US$)"
DT.NFL.DECT.CD,"Net flows on external debt, total (NFL, current US$)"
DT.NFL.DEGG.CD,"Net flows on external debt, general government sector (PPG) (NFL, current US$)"
DT.NFL.DEPS.CD,"Net flows on external debt, public sector (PPG) (NFL, current US$)"
DT.NFL.DLXF.CD,"Net flows on external debt, long-term (NFL, current US$)"
DT.NFL.DOPS.CD,"Net flows on external debt, other public sector (PPG) (NFL, current US$)"
DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)"
